book	chapter	verse_order	sentence_order	sentence
Job 	1 	1 	1 	There was a man in the land of Uz, whose name was Job; and that man was perfect and upright, and one that feared God, and eschewed evil.
Job 	1 	2 	1 	And there were born unto him seven sons and three daughters.
Job 	1 	3 	1 	His substance also was seven thousand sheep, and three thousand camels, and five hundred yoke of oxen, and five hundred she asses, and a very great household; so that this man was the greatest of all the men of the east.
Job 	1 	4 	1 	And his sons went and feasted in their houses, every one his day; and sent and called for their three sisters to eat and to drink with them.
Job 	1 	5 	1 	And it was so, when the days of their feasting were gone about, that Job sent and sanctified them, and rose up early in the morning, and offered burnt offerings according to the number of them all: for Job said, It may be that my sons have sinned, and cursed God in their hearts.
Job 	1 	5 	2 	Thus did Job continually.
Job 	1 	6 	1 	Now there was a day when the sons of God came to present themselves before the LORD, and Satan came also among them.
Job 	1 	7 	1 	And the LORD said unto Satan, Whence comest thou?
Job 	1 	7 	2 	Then Satan answered the LORD, and said, From going to and fro in the earth, and from walking up and down in it.
Job 	1 	8 	1 	And the LORD said unto Satan, Hast thou considered my servant Job, that there is none like him in the earth, a perfect and an upright man, one that feareth God, and escheweth evil?
Job 	1 	9 	1 	Then Satan answered the LORD, and said, Doth Job fear God for nought?
Job 	1 	10 	1 	Hast not thou made an hedge about him, and about his house, and about all that he hath on every side?
Job 	1 	10 	2 	thou hast blessed the work of his hands, and his substance is increased in the land.
Job 	1 	11 	1 	But put forth thine hand now, and touch all that he hath, and he will curse thee to thy face.
Job 	1 	12 	1 	And the LORD said unto Satan, Behold, all that he hath is in thy power; only upon himself put not forth thine hand.
Job 	1 	12 	2 	So Satan went forth from the presence of the LORD.
Job 	1 	13 	1 	And there was a day when his sons and his daughters were eating and drinking wine in their eldest brother's house:
Job 	1 	14 	1 	And there came a messenger unto Job, and said, The oxen were plowing, and the asses feeding beside them:
Job 	1 	15 	1 	And the Sabeans fell upon them, and took them away; yea, they have slain the servants with the edge of the sword; and I only am escaped alone to tell thee.
Job 	1 	16 	1 	While he was yet speaking, there came also another, and said, The fire of God is fallen from heaven, and hath burned up the sheep, and the servants, and consumed them; and I only am escaped alone to tell thee.
Job 	1 	17 	1 	While he was yet speaking, there came also another, and said, The Chaldeans made out three bands, and fell upon the camels, and have carried them away, yea, and slain the servants with the edge of the sword; and I only am escaped alone to tell thee.
Job 	1 	18 	1 	While he was yet speaking, there came also another, and said, Thy sons and thy daughters were eating and drinking wine in their eldest brother's house:
Job 	1 	19 	1 	And, behold, there came a great wind from the wilderness, and smote the four corners of the house, and it fell upon the young men, and they are dead; and I only am escaped alone to tell thee.
Job 	1 	20 	1 	Then Job arose, and rent his mantle, and shaved his head, and fell down upon the ground, and worshipped,
Job 	1 	21 	1 	And said, Naked came I out of my mother's womb, and naked shall I return thither: the LORD gave, and the LORD hath taken away; blessed be the name of the LORD.
Job 	1 	22 	1 	In all this Job sinned not, nor charged God foolishly.
Job 	2 	1 	1 	Again there was a day when the sons of God came to present themselves before the LORD, and Satan came also among them to present himself before the LORD.
Job 	2 	2 	1 	And the LORD said unto Satan, From whence comest thou?
Job 	2 	2 	2 	And Satan answered the LORD, and said, From going to and fro in the earth, and from walking up and down in it.
Job 	2 	3 	1 	And the LORD said unto Satan, Hast thou considered my servant Job, that there is none like him in the earth, a perfect and an upright man, one that feareth God, and escheweth evil?
Job 	2 	3 	2 	and still he holdeth fast his integrity, although thou movedst me against him, to destroy him without cause.
Job 	2 	4 	1 	And Satan answered the LORD, and said, Skin for skin, yea, all that a man hath will he give for his life.
Job 	2 	5 	1 	But put forth thine hand now, and touch his bone and his flesh, and he will curse thee to thy face.
Job 	2 	6 	1 	And the LORD said unto Satan, Behold, he is in thine hand; but save his life.
Job 	2 	7 	1 	So went Satan forth from the presence of the LORD, and smote Job with sore boils from the sole of his foot unto his crown.
Job 	2 	8 	1 	And he took him a potsherd to scrape himself withal; and he sat down among the ashes.
Job 	2 	9 	1 	Then said his wife unto him, Dost thou still retain thine integrity?
Job 	2 	9 	2 	curse God, and die.
Job 	2 	10 	1 	But he said unto her, Thou speakest as one of the foolish women speaketh.
Job 	2 	10 	2 	What?
Job 	2 	10 	3 	shall we receive good at the hand of God, and shall we not receive evil?
Job 	2 	10 	4 	In all this did not Job sin with his lips.
Job 	2 	11 	1 	Now when Job's three friends heard of all this evil that was come upon him, they came every one from his own place; Eliphaz the Temanite, and Bildad the Shuhite, and Zophar the Naamathite: for they had made an appointment together to come to mourn with him and to comfort him.
Job 	2 	12 	1 	And when they lifted up their eyes afar off, and knew him not, they lifted up their voice, and wept; and they rent every one his mantle, and sprinkled dust upon their heads toward heaven.
Job 	2 	13 	1 	So they sat down with him upon the ground seven days and seven nights, and none spake a word unto him: for they saw that his grief was very great.
Job 	3 	1 	1 	After this opened Job his mouth, and cursed his day.
Job 	3 	2 	1 	And Job spake, and said,
Job 	3 	3 	1 	Let the day perish wherein I was born, and the night in which it was said, There is a man child conceived.
Job 	3 	4 	1 	Let that day be darkness; let not God regard it from above, neither let the light shine upon it.
Job 	3 	5 	1 	Let darkness and the shadow of death stain it; let a cloud dwell upon it; let the blackness of the day terrify it.
Job 	3 	6 	1 	As for that night, let darkness seize upon it; let it not be joined unto the days of the year, let it not come into the number of the months.
Job 	3 	7 	1 	Lo, let that night be solitary, let no joyful voice come therein.
Job 	3 	8 	1 	Let them curse it that curse the day, who are ready to raise up their mourning.
Job 	3 	9 	1 	Let the stars of the twilight thereof be dark; let it look for light, but have none; neither let it see the dawning of the day:
Job 	3 	10 	1 	Because it shut not up the doors of my mother's womb, nor hid sorrow from mine eyes.
