book	chapter	verse_order	sentence_order	sentence
Jon 	1 	1 	1 	Now the word of the LORD came unto Jonah the son of Amittai, saying,
Jon 	1 	2 	1 	Arise, go to Nineveh, that great city, and cry against it; for their wickedness is come up before me.
Jon 	1 	3 	1 	But Jonah rose up to flee unto Tarshish from the presence of the LORD, and went down to Joppa; and he found a ship going to Tarshish: so he paid the fare thereof, and went down into it, to go with them unto Tarshish from the presence of the LORD.
Jon 	1 	4 	1 	But the LORD sent out a great wind into the sea, and there was a mighty tempest in the sea, so that the ship was like to be broken.
Jon 	1 	5 	1 	Then the mariners were afraid, and cried every man unto his god, and cast forth the wares that were in the ship into the sea, to lighten it of them.
Jon 	1 	5 	2 	But Jonah was gone down into the sides of the ship; and he lay, and was fast asleep.
Jon 	1 	6 	1 	So the shipmaster came to him, and said unto him, What meanest thou, O sleeper?
Jon 	1 	6 	2 	arise, call upon thy God, if so be that God will think upon us, that we perish not.
Jon 	1 	7 	1 	And they said every one to his fellow, Come, and let us cast lots, that we may know for whose cause this evil is upon us.
Jon 	1 	7 	2 	So they cast lots, and the lot fell upon Jonah.
Jon 	1 	8 	1 	Then said they unto him, Tell us, we pray thee, for whose cause this evil is upon us; What is thine occupation?
Jon 	1 	8 	2 	and whence comest thou?
Jon 	1 	8 	3 	what is thy country?
Jon 	1 	8 	4 	and of what people art thou?
Jon 	1 	9 	1 	And he said unto them, I am an Hebrew; and I fear the LORD, the God of heaven, which hath made the sea and the dry land.
Jon 	1 	10 	1 	Then were the men exceedingly afraid, and said unto him.
Jon 	1 	10 	2 	Why hast thou done this?
Jon 	1 	10 	3 	For the men knew that he fled from the presence of the LORD, because he had told them.
Jon 	1 	11 	1 	Then said they unto him, What shall we do unto thee, that the sea may be calm unto us?
Jon 	1 	11 	2 	for the sea wrought, and was tempestuous.
Jon 	1 	12 	1 	And he said unto them, Take me up, and cast me forth into the sea; so shall the sea be calm unto you: for I know that for my sake this great tempest is upon you.
Jon 	1 	13 	1 	Nevertheless the men rowed hard to bring it to the land; but they could not: for the sea wrought, and was tempestuous against them.
