book	chapter	verse_order	sentence_order	sentence
Mal 	1 	1 	1 	The burden of the word of the LORD to Israel by Malachi.
Mal 	1 	2 	1 	I have loved you, saith the LORD.
Mal 	1 	2 	2 	Yet ye say, Wherein hast thou loved us?
Mal 	1 	2 	3 	Was not Esau Jacob's brother?
Mal 	1 	2 	4 	saith the LORD: yet I loved Jacob,
Mal 	1 	3 	1 	And I hated Esau, and laid his mountains and his heritage waste for the dragons of the wilderness.
Mal 	1 	4 	1 	Whereas Edom saith, We are impoverished, but we will return and build the desolate places; thus saith the LORD of hosts, They shall build, but I will throw down; and they shall call them, The border of wickedness, and, The people against whom the LORD hath indignation for ever.
Mal 	1 	5 	1 	And your eyes shall see, and ye shall say, The LORD will be magnified from the border of Israel.
Mal 	1 	6 	1 	A son honoureth his father, and a servant his master: if then I be a father, where is mine honour?
Mal 	1 	6 	2 	and if I be a master, where is my fear?
Mal 	1 	6 	3 	saith the LORD of hosts unto you, O priests, that despise my name.
Mal 	1 	6 	4 	And ye say, Wherein have we despised thy name?
Mal 	1 	7 	1 	Ye offer polluted bread upon mine altar; and ye say, Wherein have we polluted thee?
Mal 	1 	7 	2 	In that ye say, The table of the LORD is contemptible.
Mal 	1 	8 	1 	And if ye offer the blind for sacrifice, is it not evil?
Mal 	1 	8 	2 	and if ye offer the lame and sick, is it not evil?
Mal 	1 	8 	3 	offer it now unto thy governor; will he be pleased with thee, or accept thy person?
Mal 	1 	8 	4 	saith the LORD of hosts.
Mal 	1 	9 	1 	And now, I pray you, beseech God that he will be gracious unto us: this hath been by your means: will he regard your persons?
Mal 	1 	9 	2 	saith the LORD of hosts.
Mal 	1 	10 	1 	Who is there even among you that would shut the doors for nought?
Mal 	1 	10 	2 	neither do ye kindle fire on mine altar for nought.
Mal 	1 	10 	3 	I have no pleasure in you, saith the LORD of hosts, neither will I accept an offering at your hand.
Mal 	1 	11 	1 	For from the rising of the sun even unto the going down of the same my name shall be great among the Gentiles; and in every place incense shall be offered unto my name, and a pure offering: for my name shall be great among the heathen, saith the LORD of hosts.
Mal 	1 	12 	1 	But ye have profaned it, in that ye say, The table of the LORD is polluted; and the fruit thereof, even his meat, is contemptible.
