book	chapter	verse_order	sentence_order	sentence
Neh 	1 	1 	1 	The words of Nehemiah the son of Hachaliah.
Neh 	1 	1 	2 	And it came to pass in the month Chisleu, in the twentieth year, as I was in Shushan the palace,
Neh 	1 	2 	1 	That Hanani, one of my brethren, came, he and certain men of Judah; and I asked them concerning the Jews that had escaped, which were left of the captivity, and concerning Jerusalem.
Neh 	1 	3 	1 	And they said unto me, The remnant that are left of the captivity there in the province are in great affliction and reproach: the wall of Jerusalem also is broken down, and the gates thereof are burned with fire.
Neh 	1 	4 	1 	And it came to pass, when I heard these words, that I sat down and wept, and mourned certain days, and fasted, and prayed before the God of heaven,
Neh 	1 	5 	1 	And said, I beseech thee, O LORD God of heaven, the great and terrible God, that keepeth covenant and mercy for them that love him and observe his commandments:
Neh 	1 	6 	1 	Let thine ear now be attentive, and thine eyes open, that thou mayest hear the prayer of thy servant, which I pray before thee now, day and night, for the children of Israel thy servants, and confess the sins of the children of Israel, which we have sinned against thee: both I and my father's house have sinned.
Neh 	1 	7 	1 	We have dealt very corruptly against thee, and have not kept the commandments, nor the statutes, nor the judgments, which thou commandedst thy servant Moses.
Neh 	1 	8 	1 	Remember, I beseech thee, the word that thou commandedst thy servant Moses, saying, If ye transgress, I will scatter you abroad among the nations:
Neh 	1 	9 	1 	But if ye turn unto me, and keep my commandments, and do them; though there were of you cast out unto the uttermost part of the heaven, yet will I gather them from thence, and will bring them unto the place that I have chosen to set my name there.
Neh 	1 	10 	1 	ow these are thy servants and thy people, whom thou hast redeemed by thy great power, and by thy strong hand.
Neh 	1 	11 	1 	O LORD, I beseech thee, let now thine ear be attentive to the prayer of thy servant, and to the prayer of thy servants, who desire to fear thy name: and prosper, I pray thee, thy servant this day, and grant him mercy in the sight of this man.
Neh 	1 	11 	2 	For I was the king's cupbearer.
Neh 	2 	1 	1 	And it came to pass in the month Nisan, in the twentieth year of Artaxerxes the king, that wine was before him: and I took up the wine, and gave it unto the king.
Neh 	2 	1 	2 	Now I had not been beforetime sad in his presence.
Neh 	2 	2 	1 	Wherefore the king said unto me, Why is thy countenance sad, seeing thou art not sick?
Neh 	2 	2 	2 	this is nothing else but sorrow of heart.
Neh 	2 	2 	3 	Then I was very sore afraid,
Neh 	2 	3 	1 	And said unto the king, Let the king live for ever: why should not my countenance be sad, when the city, the place of my fathers' sepulchres, lieth waste, and the gates thereof are consumed with fire?
Neh 	2 	4 	1 	Then the king said unto me, For what dost thou make request?
Neh 	2 	4 	2 	So I prayed to the God of heaven.
Neh 	2 	5 	1 	And I said unto the king, If it please the king, and if thy servant have found favour in thy sight, that thou wouldest send me unto Judah, unto the city of my fathers' sepulchres, that I may build it.
Neh 	2 	6 	1 	And the king said unto me, (the queen also sitting by him,) For how long shall thy journey be?
Neh 	2 	6 	2 	and when wilt thou return?
Neh 	2 	6 	3 	So it pleased the king to send me; and I set him a time.
Neh 	2 	7 	1 	Moreover I said unto the king, If it please the king, let letters be given me to the governors beyond the river, that they may convey me over till I come into Judah;
Neh 	2 	8 	1 	And a letter unto Asaph the keeper of the king's forest, that he may give me timber to make beams for the gates of the palace which appertained to the house, and for the wall of the city, and for the house that I shall enter into.
Neh 	2 	8 	2 	And the king granted me, according to the good hand of my God upon me.
Neh 	2 	9 	1 	Then I came to the governors beyond the river, and gave them the king's letters.
Neh 	2 	9 	2 	Now the king had sent captains of the army and horsemen with me.
Neh 	2 	10 	1 	When Sanballat the Horonite, and Tobiah the servant, the Ammonite, heard of it, it grieved them exceedingly that there was come a man to seek the welfare of the children of Israel.
Neh 	2 	11 	1 	So I came to Jerusalem, and was there three days.
Neh 	2 	12 	1 	And I arose in the night, I and some few men with me; neither told I any man what my God had put in my heart to do at Jerusalem: neither was there any beast with me, save the beast that I rode upon.
Neh 	2 	13 	1 	And I went out by night by the gate of the valley, even before the dragon well, and to the dung port, and viewed the walls of Jerusalem, which were broken down, and the gates thereof were consumed with fire.
Neh 	2 	14 	1 	Then I went on to the gate of the fountain, and to the king's pool: but there was no place for the beast that was under me to pass.
Neh 	2 	15 	1 	Then went I up in the night by the brook, and viewed the wall, and turned back, and entered by the gate of the valley, and so returned.
Neh 	2 	16 	1 	And the rulers knew not whither I went, or what I did; neither had I as yet told it to the Jews, nor to the priests, nor to the nobles, nor to the rulers, nor to the rest that did the work.
Neh 	2 	17 	1 	Then said I unto them, Ye see the distress that we are in, how Jerusalem lieth waste, and the gates thereof are burned with fire: come, and let us build up the wall of Jerusalem, that we be no more a reproach.
