book	chapter	verse_order	sentence_order	sentence
Psa 	1 	1 	1 	Blessed is the man that walketh not in the counsel of the ungodly, nor standeth in the way of sinners, nor sitteth in the seat of the scornful.
Psa 	1 	2 	1 	But his delight is in the law of the LORD; and in his law doth he meditate day and night.
Psa 	1 	3 	1 	And he shall be like a tree planted by the rivers of water, that bringeth forth his fruit in his season; his leaf also shall not wither; and whatsoever he doeth shall prosper.
Psa 	1 	4 	1 	The ungodly are not so: but are like the chaff which the wind driveth away.
Psa 	1 	5 	1 	Therefore the ungodly shall not stand in the judgment, nor sinners in the congregation of the righteous.
Psa 	1 	6 	1 	For the LORD knoweth the way of the righteous: but the way of the ungodly shall perish.
Psa 	2 	1 	1 	Why do the heathen rage, and the people imagine a vain thing?
Psa 	2 	2 	1 	The kings of the earth set themselves, and the rulers take counsel together, against the LORD, and against his anointed, saying,
Psa 	2 	3 	1 	Let us break their bands asunder, and cast away their cords from us.
Psa 	2 	4 	1 	He that sitteth in the heavens shall laugh: the LORD shall have them in derision.
Psa 	2 	5 	1 	Then shall he speak unto them in his wrath, and vex them in his sore displeasure.
Psa 	2 	6 	1 	Yet have I set my king upon my holy hill of Zion.
Psa 	2 	7 	1 	I will declare the decree: the LORD hath said unto me, Thou art my Son; this day have I begotten thee.
Psa 	2 	8 	1 	Ask of me, and I shall give thee the heathen for thine inheritance, and the uttermost parts of the earth for thy possession.
Psa 	2 	9 	1 	Thou shalt break them with a rod of iron; thou shalt dash them in pieces like a potter's vessel.
Psa 	2 	10 	1 	Be wise now therefore, O ye kings: be instructed, ye judges of the earth.
Psa 	2 	11 	1 	Serve the LORD with fear, and rejoice with trembling.
Psa 	2 	12 	1 	Kiss the Son, lest he be angry, and ye perish from the way, when his wrath is kindled but a little.
Psa 	2 	12 	2 	Blessed are all they that put their trust in him.
Psa 	3 	1 	1 	Lord, how are they increased that trouble me!
Psa 	3 	1 	2 	many are they that rise up against me.
Psa 	3 	2 	1 	Many there be which say of my soul, There is no help for him in God.
Psa 	3 	2 	2 	Selah.
Psa 	3 	3 	1 	But thou, O LORD, art a shield for me; my glory, and the lifter up of mine head.
Psa 	3 	4 	1 	I cried unto the LORD with my voice, and he heard me out of his holy hill.
Psa 	3 	4 	2 	Selah.
Psa 	3 	5 	1 	I laid me down and slept; I awaked; for the LORD sustained me.
Psa 	3 	6 	1 	I will not be afraid of ten thousands of people, that have set themselves against me round about.
Psa 	3 	7 	1 	Arise, O LORD; save me, O my God: for thou hast smitten all mine enemies upon the cheek bone; thou hast broken the teeth of the ungodly.
Psa 	3 	8 	1 	Salvation belongeth unto the LORD: thy blessing is upon thy people.
Psa 	3 	8 	2 	Selah.
Psa 	4 	1 	1 	Hear me when I call, O God of my righteousness: thou hast enlarged me when I was in distress; have mercy upon me, and hear my prayer.
Psa 	4 	2 	1 	O ye sons of men, how long will ye turn my glory into shame?
Psa 	4 	2 	2 	how long will ye love vanity, and seek after leasing?
Psa 	4 	2 	3 	Selah.
Psa 	4 	3 	1 	But know that the LORD hath set apart him that is godly for himself: the LORD will hear when I call unto him.
Psa 	4 	4 	1 	Stand in awe, and sin not: commune with your own heart upon your bed, and be still.
Psa 	4 	4 	2 	Selah.
Psa 	4 	5 	1 	Offer the sacrifices of righteousness, and put your trust in the LORD.
Psa 	4 	6 	1 	There be many that say, Who will shew us any good?
Psa 	4 	6 	2 	LORD, lift thou up the light of thy countenance upon us.
Psa 	4 	7 	1 	Thou hast put gladness in my heart, more than in the time that their corn and their wine increased.
Psa 	4 	8 	1 	I will both lay me down in peace, and sleep: for thou, LORD, only makest me dwell in safety.
Psa 	5 	1 	1 	Give ear to my words, O LORD, consider my meditation.
Psa 	5 	2 	1 	Hearken unto the voice of my cry, my King, and my God: for unto thee will I pray.
Psa 	5 	3 	1 	My voice shalt thou hear in the morning, O LORD; in the morning will I direct my prayer unto thee, and will look up.
Psa 	5 	4 	1 	For thou art not a God that hath pleasure in wickedness: neither shall evil dwell with thee.
Psa 	5 	5 	1 	The foolish shall not stand in thy sight: thou hatest all workers of iniquity.
Psa 	5 	6 	1 	Thou shalt destroy them that speak leasing: the LORD will abhor the bloody and deceitful man.
Psa 	5 	7 	1 	But as for me, I will come into thy house in the multitude of thy mercy: and in thy fear will I worship toward thy holy temple.
Psa 	5 	8 	1 	Lead me, O LORD, in thy righteousness because of mine enemies; make thy way straight before my face.
