book	chapter	verse_order
Jam 	1 	es, a servant of God and of the Lord Jesus Christ, to the twelve tribes which are scattered abroad, greeting.
Jam 	2 	My brethren, count it all joy when ye fall into divers temptations;
Jam 	3 	Knowing this, that the trying of your faith worketh patience.
Jam 	4 	But let patience have her perfect work, that ye may be perfect and entire, wanting nothing.
Jam 	5 	If any of you lack wisdom, let him ask of God, that giveth to all men liberally, and upbraideth not; and it shall be given him.
Jam 	6 	But let him ask in faith, nothing wavering. For he that wavereth is like a wave of the sea driven with the wind and tossed.
Jam 	7 	For let not that man think that he shall receive any thing of the Lord.
Jam 	8 	A double minded man is unstable in all his ways.
Jam 	9 	Let the brother of low degree rejoice in that he is exalted:
Jam 	10 	But the rich, in that he is made low: because as the flower of the grass he shall pass away.
Jam 	11 	For the sun is no sooner risen with a burning heat, but it withereth the grass, and the flower thereof falleth, and the grace of the fashion of it perisheth: so also shall the rich man fade away in his ways.
Jam 	12 	Blessed is the man that endureth temptation: for when he is tried, he shall receive the crown of life, which the Lord hath promised to them that love him.
Jam 	13 	Let no man say when he is tempted, I am tempted of God: for God cannot be tempted with evil, neither tempteth he any man:
Jam 	14 	But every man is tempted, when he is drawn away of his own lust, and enticed.
Jam 	15 	Then when lust hath conceived, it bringeth forth sin: and sin, when it is finished, bringeth forth death.
Jam 	16 	Do not err, my beloved brethren.
Jam 	17 	Every good gift and every perfect gift is from above, and cometh down from the Father of lights, with whom is no variableness, neither shadow of turning.
Jam 	18 	Of his own will begat he us with the word of truth, that we should be a kind of firstfruits of his creatures.
Jam 	19 	Wherefore, my beloved brethren, let every man be swift to hear, slow to speak, slow to wrath:
Jam 	20 	For the wrath of man worketh not the righteousness of God.
Jam 	21 	Wherefore lay apart all filthiness and superfluity of naughtiness, and receive with meekness the engrafted word, which is able to save your souls.
Jam 	22 	But be ye doers of the word, and not hearers only, deceiving your own selves.
Jam 	23 	For if any be a hearer of the word, and not a doer, he is like unto a man beholding his natural face in a glass:
Jam 	24 	For he beholdeth himself, and goeth his way, and straightway forgetteth what manner of man he was.
Jam 	25 	But whoso looketh into the perfect law of liberty, and continueth therein, he being not a forgetful hearer, but a doer of the work, this man shall be blessed in his deed.
Jam 	26 	If any man among you seem to be religious, and bridleth not his tongue, but deceiveth his own heart, this man's religion is vain.
Jam 	27 	Pure religion and undefiled before God and the Father is this, To visit the fatherless and widows in their affliction, and to keep himself unspotted from the world.
Jam 	1 	My brethren, have not the faith of our Lord Jesus Christ, the Lord of glory, with respect of persons.
Jam 	2 	For if there come unto your assembly a man with a gold ring, in goodly apparel, and there come in also a poor man in vile raiment;
Jam 	3 	And ye have respect to him that weareth the gay clothing, and say unto him, Sit thou here in a good place; and say to the poor, Stand thou there, or sit here under my footstool:
Jam 	4 	Are ye not then partial in yourselves, and are become judges of evil thoughts?
Jam 	5 	Hearken, my beloved brethren, Hath not God chosen the poor of this world rich in faith, and heirs of the kingdom which he hath promised to them that love him?
Jam 	6 	But ye have despised the poor. Do not rich men oppress you, and draw you before the judgment seats?
Jam 	7 	Do not they blaspheme that worthy name by the which ye are called?
Jam 	8 	If ye fulfil the royal law according to the scripture, Thou shalt love thy neighbour as thyself, ye do well:
Jam 	9 	But if ye have respect to persons, ye commit sin, and are convinced of the law as transgressors.
Jam 	10 	For whosoever shall keep the whole law, and yet offend in one point, he is guilty of all.
Jam 	11 	For he that said, Do not commit adultery, said also, Do not kill. Now if thou commit no adultery, yet if thou kill, thou art become a transgressor of the law.
Jam 	12 	So speak ye, and so do, as they that shall be judged by the law of liberty.
Jam 	13 	For he shall have judgment without mercy, that hath shewed no mercy; and mercy rejoiceth against judgment.
Jam 	14 	What doth it profit, my brethren, though a man say he hath faith, and have not works? can faith save him?
Jam 	15 	If a brother or sister be naked, and destitute of daily food,
Jam 	16 	And one of you say unto them, Depart in peace, be ye warmed and filled; notwithstanding ye give them not those things which are needful to the body; what doth it profit?
Jam 	17 	Even so faith, if it hath not works, is dead, being alone.
Jam 	18 	Yea, a man may say, Thou hast faith, and I have works: shew me thy faith without thy works, and I will shew thee my faith by my works.
Jam 	19 	Thou believest that there is one God; thou doest well: the devils also believe, and tremble.
Jam 	20 	But wilt thou know, O vain man, that faith without works is dead?
Jam 	21 	Was not Abraham our father justified by works, when he had offered Isaac his son upon the altar?
Jam 	22 	Seest thou how faith wrought with his works, and by works was faith made perfect?
Jam 	23 	And the scripture was fulfilled which saith, Abraham believed God, and it was imputed unto him for righteousness: and he was called the Friend of God.
Jam 	24 	Ye see then how that by works a man is justified, and not by faith only.
Jam 	25 	Likewise also was not Rahab the harlot justified by works, when she had received the messengers, and had sent them out another way?
Jam 	26 	For as the body without the spirit is dead, so faith without works is dead also.
Jam 	1 	My brethren, be not many masters, knowing that we shall receive the greater condemnation.
Jam 	2 	For in many things we offend all. If any man offend not in word, the same is a perfect man, and able also to bridle the whole body.
Jam 	3 	Behold, we put bits in the horses' mouths, that they may obey us; and we turn about their whole body.
Jam 	4 	Behold also the ships, which though they be so great, and are driven of fierce winds, yet are they turned about with a very small helm, whithersoever the governor listeth.
Jam 	5 	Even so the tongue is a little member, and boasteth great things. Behold, how great a matter a little fire kindleth!
Jam 	6 	And the tongue is a fire, a world of iniquity: so is the tongue among our members, that it defileth the whole body, and setteth on fire the course of nature; and it is set on fire of hell.
Jam 	7 	For every kind of beasts, and of birds, and of serpents, and of things in the sea, is tamed, and hath been tamed of mankind:
Jam 	8 	But the tongue can no man tame; it is an unruly evil, full of deadly poison.
Jam 	9 	Therewith bless we God, even the Father; and therewith curse we men, which are made after the similitude of God.
Jam 	10 	Out of the same mouth proceedeth blessing and cursing. My brethren, these things ought not so to be.
Jam 	11 	Doth a fountain send forth at the same place sweet water and bitter?
Jam 	12 	Can the fig tree, my brethren, bear olive berries? either a vine, figs? so can no fountain both yield salt water and fresh.
Jam 	13 	Who is a wise man and endued with knowledge among you? let him shew out of a good conversation his works with meekness of wisdom.
Jam 	14 	But if ye have bitter envying and strife in your hearts, glory not, and lie not against the truth.
Jam 	15 	This wisdom descendeth not from above, but is earthly, sensual, devilish.
Jam 	16 	For where envying and strife is, there is confusion and every evil work.
Jam 	17 	But the wisdom that is from above is first pure, then peaceable, gentle, and easy to be intreated, full of mercy and good fruits, without partiality, and without hypocrisy.
Jam 	18 	And the fruit of righteousness is sown in peace of them that make peace.
Jam 	1 	From whence come wars and fightings among you? come they not hence, even of your lusts that war in your members?
Jam 	2 	Ye lust, and have not: ye kill, and desire to have, and cannot obtain: ye fight and war, yet ye have not, because ye ask not.
Jam 	3 	Ye ask, and receive not, because ye ask amiss, that ye may consume it upon your lusts.
Jam 	4 	Ye adulterers and adulteresses, know ye not that the friendship of the world is enmity with God? whosoever therefore will be a friend of the world is the enemy of God.
Jam 	5 	Do ye think that the scripture saith in vain, The spirit that dwelleth in us lusteth to envy?
Jam 	6 	But he giveth more grace. Wherefore he saith, God resisteth the proud, but giveth grace unto the humble.
Jam 	7 	Submit yourselves therefore to God. Resist the devil, and he will flee from you.
Jam 	8 	Draw nigh to God, and he will draw nigh to you. Cleanse your hands, ye sinners; and purify your hearts, ye double minded.
Jam 	9 	Be afflicted, and mourn, and weep: let your laughter be turned to mourning, and your joy to heaviness.
Jam 	10 	Humble yourselves in the sight of the Lord, and he shall lift you up.
Jam 	11 	Speak not evil one of another, brethren. He that speaketh evil of his brother, and judgeth his brother, speaketh evil of the law, and judgeth the law: but if thou judge the law, thou art not a doer of the law, but a judge.
Jam 	12 	There is one lawgiver, who is able to save and to destroy: who art thou that judgest another?
Jam 	13 	Go to now, ye that say, To day or to morrow we will go into such a city, and continue there a year, and buy and sell, and get gain:
Jam 	14 	Whereas ye know not what shall be on the morrow. For what is your life? It is even a vapour, that appeareth for a little time, and then vanisheth away.
Jam 	15 	For that ye ought to say, If the Lord will, we shall live, and do this, or that.
Jam 	16 	But now ye rejoice in your boastings: all such rejoicing is evil.
Jam 	17 	Therefore to him that knoweth to do good, and doeth it not, to him it is sin.
Jam 	1 	Go to now, ye rich men, weep and howl for your miseries that shall come upon you.
Jam 	2 	Your riches are corrupted, and your garments are motheaten.
Jam 	3 	Your gold and silver is cankered; and the rust of them shall be a witness against you, and shall eat your flesh as it were fire. Ye have heaped treasure together for the last days.
