book	chapter	verse_order	sentence_order	word_order	word=1	word_or_punct	word_class
Jer 	1 	1 	1 	1 	1 	The 	DT
Jer 	1 	1 	1 	2 	1 	words 	NNS
Jer 	1 	1 	1 	3 	1 	of 	IN
Jer 	1 	1 	1 	4 	1 	Jeremiah 	NN
Jer 	1 	1 	1 	5 	1 	the 	DT
Jer 	1 	1 	1 	6 	1 	son 	NN
Jer 	1 	1 	1 	7 	1 	of 	IN
Jer 	1 	1 	1 	8 	1 	Hilkiah 	NN
Jer 	1 	1 	1 	9 	0 	,
Jer 	1 	1 	1 	10 	1 	of 	IN
Jer 	1 	1 	1 	11 	1 	the 	DT
Jer 	1 	1 	1 	12 	1 	priests 	NNS
Jer 	1 	1 	1 	13 	1 	that 	IN
Jer 	1 	1 	1 	14 	1 	were 	VBD
Jer 	1 	1 	1 	15 	1 	in 	IN
Jer 	1 	1 	1 	16 	1 	Anathoth 	DT
Jer 	1 	1 	1 	17 	1 	in 	IN
Jer 	1 	1 	1 	18 	1 	the 	DT
Jer 	1 	1 	1 	19 	1 	land 	NN
Jer 	1 	1 	1 	20 	1 	of 	IN
Jer 	1 	1 	1 	21 	1 	Benjamin 	NNP
Jer 	1 	1 	1 	22 	0 	:
Jer 	1 	2 	1 	1 	1 	To 	TO
Jer 	1 	2 	1 	2 	1 	whom 	WP
Jer 	1 	2 	1 	3 	1 	the 	DT
Jer 	1 	2 	1 	4 	1 	word 	NN
Jer 	1 	2 	1 	5 	1 	of 	IN
Jer 	1 	2 	1 	6 	1 	the 	DT
Jer 	1 	2 	1 	7 	1 	LORD 	NN
Jer 	1 	2 	1 	8 	1 	came 	VBD
Jer 	1 	2 	1 	9 	1 	in 	IN
Jer 	1 	2 	1 	10 	1 	the 	DT
Jer 	1 	2 	1 	11 	1 	days 	NNS
Jer 	1 	2 	1 	12 	1 	of 	IN
Jer 	1 	2 	1 	13 	1 	Josiah 	NN
Jer 	1 	2 	1 	14 	1 	the 	DT
Jer 	1 	2 	1 	15 	1 	son 	NN
Jer 	1 	2 	1 	16 	1 	of 	IN
Jer 	1 	2 	1 	17 	1 	Amon 	NN
Jer 	1 	2 	1 	18 	1 	king 	NN
Jer 	1 	2 	1 	19 	1 	of 	IN
Jer 	1 	2 	1 	20 	1 	Judah 	NN
Jer 	1 	2 	1 	21 	0 	,
Jer 	1 	2 	1 	22 	1 	in 	IN
Jer 	1 	2 	1 	23 	1 	the 	DT
Jer 	1 	2 	1 	24 	1 	thirteenth 	NN
Jer 	1 	2 	1 	25 	1 	year 	NN
Jer 	1 	2 	1 	26 	1 	of 	IN
Jer 	1 	2 	1 	27 	1 	his 	PRP$
Jer 	1 	2 	1 	28 	1 	reign 	NN
Jer 	1 	2 	1 	29 	0 	.
Jer 	1 	3 	1 	1 	1 	It 	PRP
Jer 	1 	3 	1 	2 	1 	came 	VBD
Jer 	1 	3 	1 	3 	1 	also 	RB
Jer 	1 	3 	1 	4 	1 	in 	IN
Jer 	1 	3 	1 	5 	1 	the 	DT
Jer 	1 	3 	1 	6 	1 	days 	NNS
Jer 	1 	3 	1 	7 	1 	of 	IN
Jer 	1 	3 	1 	8 	1 	Jehoiakim 	NN
Jer 	1 	3 	1 	9 	1 	the 	DT
Jer 	1 	3 	1 	10 	1 	son 	NN
Jer 	1 	3 	1 	11 	1 	of 	IN
Jer 	1 	3 	1 	12 	1 	Josiah 	NN
Jer 	1 	3 	1 	13 	1 	king 	NN
Jer 	1 	3 	1 	14 	1 	of 	IN
Jer 	1 	3 	1 	15 	1 	Judah 	NN
Jer 	1 	3 	1 	16 	0 	,
Jer 	1 	3 	1 	17 	1 	unto 	NN
Jer 	1 	3 	1 	18 	1 	the 	DT
Jer 	1 	3 	1 	19 	1 	end 	NN
Jer 	1 	3 	1 	20 	1 	of 	IN
Jer 	1 	3 	1 	21 	1 	the 	DT
Jer 	1 	3 	1 	22 	1 	eleventh 	NN
Jer 	1 	3 	1 	23 	1 	year 	NN
Jer 	1 	3 	1 	24 	1 	of 	IN
Jer 	1 	3 	1 	25 	1 	Zedekiah 	NN
Jer 	1 	3 	1 	26 	1 	the 	DT
Jer 	1 	3 	1 	27 	1 	son 	NN
Jer 	1 	3 	1 	28 	1 	of 	IN
Jer 	1 	3 	1 	29 	1 	Josiah 	NN
Jer 	1 	3 	1 	30 	1 	king 	NN
Jer 	1 	3 	1 	31 	1 	of 	IN
Jer 	1 	3 	1 	32 	1 	Judah 	NN
Jer 	1 	3 	1 	33 	0 	,
Jer 	1 	3 	1 	34 	1 	unto 	NN
Jer 	1 	3 	1 	35 	1 	the 	DT
Jer 	1 	3 	1 	36 	1 	carrying 	VBG
Jer 	1 	3 	1 	37 	1 	away 	RB
Jer 	1 	3 	1 	38 	1 	of 	IN
Jer 	1 	3 	1 	39 	1 	Jerusalem 	NN
Jer 	1 	3 	1 	40 	1 	captive 	NN
Jer 	1 	3 	1 	41 	1 	in 	IN
Jer 	1 	3 	1 	42 	1 	the 	DT
Jer 	1 	3 	1 	43 	1 	fifth 	NN
Jer 	1 	3 	1 	44 	1 	month 	NN
Jer 	1 	3 	1 	45 	0 	.
Jer 	1 	4 	1 	1 	1 	Then 	RB
Jer 	1 	4 	1 	2 	1 	the 	DT
Jer 	1 	4 	1 	3 	1 	word 	NN
Jer 	1 	4 	1 	4 	1 	of 	IN
Jer 	1 	4 	1 	5 	1 	the 	DT
Jer 	1 	4 	1 	6 	1 	LORD 	NN
Jer 	1 	4 	1 	7 	1 	came 	VBD
Jer 	1 	4 	1 	8 	1 	unto 	NN
Jer 	1 	4 	1 	9 	1 	me 	PRP
Jer 	1 	4 	1 	10 	0 	,
Jer 	1 	4 	1 	11 	1 	saying 	VBG
Jer 	1 	4 	1 	12 	0 	,
Jer 	1 	5 	1 	1 	1 	Before 	IN
Jer 	1 	5 	1 	2 	1 	I 	PRP
Jer 	1 	5 	1 	3 	1 	formed 	VBN
Jer 	1 	5 	1 	4 	1 	thee 	NN
Jer 	1 	5 	1 	5 	1 	in 	IN
Jer 	1 	5 	1 	6 	1 	the 	DT
Jer 	1 	5 	1 	7 	1 	belly 	RB
Jer 	1 	5 	1 	8 	1 	I 	PRP
Jer 	1 	5 	1 	9 	1 	knew 	NNS
Jer 	1 	5 	1 	10 	1 	thee 	NN
Jer 	1 	5 	1 	11 	0 	;
Jer 	1 	5 	1 	12 	1 	and 	CC
Jer 	1 	5 	1 	13 	1 	before 	IN
Jer 	1 	5 	1 	14 	1 	thou 	NN
Jer 	1 	5 	1 	15 	1 	camest 	NN
Jer 	1 	5 	1 	16 	1 	forth 	NN
Jer 	1 	5 	1 	17 	1 	out 	IN
Jer 	1 	5 	1 	18 	1 	of 	IN
Jer 	1 	5 	1 	19 	1 	the 	DT
Jer 	1 	5 	1 	20 	1 	womb 	NN
Jer 	1 	5 	1 	21 	1 	I 	PRP
Jer 	1 	5 	1 	22 	1 	sanctified 	VBN
Jer 	1 	5 	1 	23 	1 	thee 	NN
Jer 	1 	5 	1 	24 	0 	,
Jer 	1 	5 	1 	25 	1 	and 	CC
Jer 	1 	5 	1 	26 	1 	I 	PRP
Jer 	1 	5 	1 	27 	1 	ordained 	VBN
Jer 	1 	5 	1 	28 	1 	thee 	NN
Jer 	1 	5 	1 	29 	1 	a 	DT
Jer 	1 	5 	1 	30 	1 	prophet 	NN
Jer 	1 	5 	1 	31 	1 	unto 	NN
Jer 	1 	5 	1 	32 	1 	the 	DT
Jer 	1 	5 	1 	33 	1 	nations 	NNS
Jer 	1 	5 	1 	34 	0 	.
Jer 	1 	6 	1 	1 	1 	Then 	RB
Jer 	1 	6 	1 	2 	1 	said 	VBD
Jer 	1 	6 	1 	3 	1 	I 	PRP
Jer 	1 	6 	1 	4 	0 	,
Jer 	1 	6 	1 	5 	1 	Ah 	NN
Jer 	1 	6 	1 	6 	0 	,
Jer 	1 	6 	1 	7 	1 	Lord 	NN
Jer 	1 	6 	1 	8 	1 	GOD 	NNP
Jer 	1 	6 	1 	9 	0 	!
Jer 	1 	6 	2 	1 	1 	behold 	NN
Jer 	1 	6 	2 	2 	0 	,
Jer 	1 	6 	2 	3 	1 	I 	PRP
Jer 	1 	6 	2 	4 	1 	can 	MD
Jer 	1 	6 	2 	5 	1 	not 	RB
Jer 	1 	6 	2 	6 	1 	speak 	NN
Jer 	1 	6 	2 	7 	0 	:
Jer 	1 	6 	2 	8 	1 	for 	IN
Jer 	1 	6 	2 	9 	1 	I 	PRP
Jer 	1 	6 	2 	10 	1 	am 	VBP
Jer 	1 	6 	2 	11 	1 	a 	DT
Jer 	1 	6 	2 	12 	1 	child 	NN
Jer 	1 	6 	2 	13 	0 	.
Jer 	1 	7 	1 	1 	1 	But 	CC
Jer 	1 	7 	1 	2 	1 	the 	DT
Jer 	1 	7 	1 	3 	1 	LORD 	NN
Jer 	1 	7 	1 	4 	1 	said 	VBD
Jer 	1 	7 	1 	5 	1 	unto 	NN
Jer 	1 	7 	1 	6 	1 	me 	PRP
Jer 	1 	7 	1 	7 	0 	,
Jer 	1 	7 	1 	8 	1 	Say 	NN
Jer 	1 	7 	1 	9 	1 	not 	RB
Jer 	1 	7 	1 	10 	0 	,
Jer 	1 	7 	1 	11 	1 	I 	PRP
Jer 	1 	7 	1 	12 	1 	am 	VBP
Jer 	1 	7 	1 	13 	1 	a 	DT
Jer 	1 	7 	1 	14 	1 	child 	NN
Jer 	1 	7 	1 	15 	0 	:
Jer 	1 	7 	1 	16 	1 	for 	IN
Jer 	1 	7 	1 	17 	1 	thou 	NN
Jer 	1 	7 	1 	18 	1 	shalt 	NN
Jer 	1 	7 	1 	19 	1 	go 	VB
Jer 	1 	7 	1 	20 	1 	to 	TO
Jer 	1 	7 	1 	21 	1 	all 	DT
Jer 	1 	7 	1 	22 	1 	that 	IN
Jer 	1 	7 	1 	23 	1 	I 	PRP
Jer 	1 	7 	1 	24 	1 	shall 	MD
Jer 	1 	7 	1 	25 	1 	send 	NN
Jer 	1 	7 	1 	26 	1 	thee 	NN
Jer 	1 	7 	1 	27 	0 	,
Jer 	1 	7 	1 	28 	1 	and 	CC
Jer 	1 	7 	1 	29 	1 	whatsoever 	NN
Jer 	1 	7 	1 	30 	1 	I 	PRP
Jer 	1 	7 	1 	31 	1 	command 	NN
Jer 	1 	7 	1 	32 	1 	thee 	NN
Jer 	1 	7 	1 	33 	1 	thou 	NN
Jer 	1 	7 	1 	34 	1 	shalt 	NN
Jer 	1 	7 	1 	35 	1 	speak 	NN
Jer 	1 	7 	1 	36 	0 	.
Jer 	1 	8 	1 	1 	1 	Be 	VB
Jer 	1 	8 	1 	2 	1 	not 	RB
Jer 	1 	8 	1 	3 	1 	afraid 	NN
Jer 	1 	8 	1 	4 	1 	of 	IN
Jer 	1 	8 	1 	5 	1 	their 	PRP$
